,X,y,w,ids
25,[H]OC([H])([H])C([H])([H])C([H])([H])[H],-1104.57,1.0,[H]OC([H])([H])C([H])([H])C([H])([H])[H]
26,[H]C(=O)C([H])=C([H])[H],-831.06,1.0,[H]C(=O)C([H])=C([H])[H]
27,[H]OC([H])(C([H])([H])[H])C([H])([H])[H],-1107.82,1.0,[H]OC([H])(C([H])([H])[H])C([H])([H])[H]
28,[H]C([H])([H])C(=O)C([H])([H])[H],-980.82,1.0,[H]C([H])([H])C(=O)C([H])([H])[H]
29,[H]C(=O)C([H])([H])C([H])([H])[H],-973.32,1.0,[H]C(=O)C([H])([H])C([H])([H])[H]
30,[H]C([H])([H])OC([H])([H])C([H])([H])[H],-1096.09,1.0,[H]C([H])([H])OC([H])([H])C([H])([H])[H]
31,[H]C([H])=C([H])OC([H])([H])[H],-953.53,1.0,[H]C([H])=C([H])OC([H])([H])[H]
32,[H]C#CC([H])=O,-667.28,1.0,[H]C#CC([H])=O
33,[H]OC([H])([H])C([H])=C([H])[H],-958.05,1.0,[H]OC([H])([H])C([H])=C([H])[H]
34,[H]C#CC([H])([H])O[H],-799.52,1.0,[H]C#CC([H])([H])O[H]
35,[H]O[N][C]([H])C([H])([H])[H],-816.7,1.0,[H]O[N][C]([H])C([H])([H])[H]
36,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],-1304.31,1.0,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
37,[H]N([H])C(=O)C([H])([H])[H],-872.88,1.0,[H]N([H])C(=O)C([H])([H])[H]
38,[H]C(=O)N([H])C([H])([H])[H],-860.01,1.0,[H]C(=O)N([H])C([H])([H])[H]
39,[H][C]([H])[N]OC([H])([H])[H],-803.46,1.0,[H][C]([H])[N]OC([H])([H])[H]
40,[H]OC([H])([H])C([H])([H])N([H])[H],-974.5,1.0,[H]OC([H])([H])C([H])([H])N([H])[H]
41,[H]C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],-1305.32,1.0,[H]C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H]
42,[H]C([H])=C([H])C([H])=C([H])[H],-1018.95,1.0,[H]C([H])=C([H])C([H])=C([H])[H]
43,[H]C#CC([H])=C([H])[H],-860.26,1.0,[H]C#CC([H])=C([H])[H]
44,[H]C#CC#C[H],-693.01,1.0,[H]C#CC#C[H]
45,[H]C(=C([H])C([H])([H])[H])C([H])([H])[H],-1160.57,1.0,[H]C(=C([H])C([H])([H])[H])C([H])([H])[H]
46,[H]C([H])=C(C([H])([H])[H])C([H])([H])[H],-1161.23,1.0,[H]C([H])=C(C([H])([H])[H])C([H])([H])[H]
47,[H]OC([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],-1402.97,1.0,[H]OC([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H]
48,[H]C([H])([H])C(=O)C([H])([H])C([H])([H])[H],-1276.16,1.0,[H]C([H])([H])C(=O)C([H])([H])C([H])([H])[H]
49,[H]C(=O)C([H])([H])C([H])([H])C([H])([H])[H],-1270.08,1.0,[H]C(=O)C([H])([H])C([H])([H])C([H])([H])[H]
50,[H]C([H])([H])OC([H])([H])C([H])([H])C([H])([H])[H],-1391.77,1.0,[H]C([H])([H])OC([H])([H])C([H])([H])C([H])([H])[H]
51,[H]C([H])([H])C([H])([H])OC([H])([H])C([H])([H])[H],-1395.15,1.0,[H]C([H])([H])C([H])([H])OC([H])([H])C([H])([H])[H]
52,[H]C([H])=C([H])OC([H])=C([H])[H],-1109.98,1.0,[H]C([H])=C([H])OC([H])=C([H])[H]
53,[H]C([H])=C([H])C(=O)C([H])([H])[H],-1132.96,1.0,[H]C([H])=C([H])C(=O)C([H])([H])[H]
54,[H]C#CC(=O)C([H])([H])[H],-971.15,1.0,[H]C#CC(=O)C([H])([H])[H]
55,[H]OC([H])(C([H])=C([H])[H])C([H])([H])[H],-1256.77,1.0,[H]OC([H])(C([H])=C([H])[H])C([H])([H])[H]
56,[H]C#CC([H])(O[H])C([H])([H])[H],-1099.75,1.0,[H]C#CC([H])(O[H])C([H])([H])[H]
57,[H]C([H])=C([H])OC([H])([H])C([H])([H])[H],-1254.62,1.0,[H]C([H])=C([H])OC([H])([H])C([H])([H])[H]
58,[H]C(OC([H])([H])[H])=C([H])C([H])([H])[H],-1251.24,1.0,[H]C(OC([H])([H])[H])=C([H])C([H])([H])[H]
59,[H]C([H])([H])OC([H])(C([H])([H])[H])C([H])([H])[H],-1393.45,1.0,[H]C([H])([H])OC([H])(C([H])([H])[H])C([H])([H])[H]
60,[H]C([H])=C(OC([H])([H])[H])C([H])([H])[H],-1251.26,1.0,[H]C([H])=C(OC([H])([H])[H])C([H])([H])[H]
61,[H]C([H])=C([H])C([H])([H])OC([H])([H])[H],-1245.18,1.0,[H]C([H])=C([H])C([H])([H])OC([H])([H])[H]
62,[H]C#CC([H])([H])OC([H])([H])[H],-1086.74,1.0,[H]C#CC([H])([H])OC([H])([H])[H]
63,[H]C#CC([H])([H])C([H])=O,-966.71,1.0,[H]C#CC([H])([H])C([H])=O
64,[H]OC([H])([H])C([H])([H])C([H])=C([H])[H],-1255.27,1.0,[H]OC([H])([H])C([H])([H])C([H])=C([H])[H]
65,[H]C#CC([H])([H])C([H])([H])O[H],-1099.93,1.0,[H]C#CC([H])([H])C([H])([H])O[H]
66,[H]ON=C(C([H])([H])[H])C([H])([H])[H],-1119.24,1.0,[H]ON=C(C([H])([H])[H])C([H])([H])[H]
67,[H]O[N][C]([H])C([H])([H])C([H])([H])[H],-1113.96,1.0,[H]O[N][C]([H])C([H])([H])C([H])([H])[H]
68,[H]N([H])C(=O)C([H])([H])C([H])([H])[H],-1167.69,1.0,[H]N([H])C(=O)C([H])([H])C([H])([H])[H]
69,[H]OC([H])([H])C([H])(N([H])[H])C([H])([H])[H],-1275.79,1.0,[H]OC([H])([H])C([H])(N([H])[H])C([H])([H])[H]
70,[H]C(=O)N([H])C([H])([H])C([H])([H])[H],-1159.28,1.0,[H]C(=O)N([H])C([H])([H])C([H])([H])[H]
71,[H]OC([H])(C([H])([H])[H])C([H])([H])N([H])[H],-1277.37,1.0,[H]OC([H])(C([H])([H])[H])C([H])([H])N([H])[H]
72,[H][C]([H])[N]OC([H])([H])C([H])([H])[H],-1102.46,1.0,[H][C]([H])[N]OC([H])([H])C([H])([H])[H]
73,[H]OC([H])([H])C([H])([H])N([H])C([H])([H])[H],-1267.25,1.0,[H]OC([H])([H])C([H])([H])N([H])C([H])([H])[H]
74,[H]C(=O)N(C([H])([H])[H])C([H])([H])[H],-1152.68,1.0,[H]C(=O)N(C([H])([H])[H])C([H])([H])[H]
75,[H]N(C(=O)C([H])([H])[H])C([H])([H])[H],-1160.91,1.0,[H]N(C(=O)C([H])([H])[H])C([H])([H])[H]
76,[H]C(=O)C([H])([H])N([H])C([H])([H])[H],-1131.72,1.0,[H]C(=O)C([H])([H])N([H])C([H])([H])[H]
77,[H]N([H])C([H])([H])C([H])([H])OC([H])([H])[H],-1262.44,1.0,[H]N([H])C([H])([H])C([H])([H])OC([H])([H])[H]
78,[H]C([H])=C([H])C([H])([H])C([H])=C([H])[H],-1310.13,1.0,[H]C([H])=C([H])C([H])([H])C([H])=C([H])[H]
79,[H][C]([N]OC([H])([H])[H])C([H])([H])[H],-1105.28,1.0,[H][C]([N]OC([H])([H])[H])C([H])([H])[H]
80,[H]OC([H])([H])C([H])([H])C([H])([H])N([H])[H],-1271.12,1.0,[H]OC([H])([H])C([H])([H])C([H])([H])N([H])[H]
81,[H]C(=O)C([H])=C([H])N([H])[H],-1013.4,1.0,[H]C(=O)C([H])=C([H])N([H])[H]
82,[H]C([H])=C([H])C(=O)N([H])[H],-1023.89,1.0,[H]C([H])=C([H])C(=O)N([H])[H]
83,[H]C#CC(=O)N([H])[H],-862.34,1.0,[H]C#CC(=O)N([H])[H]
84,[H]C#CC([H])([H])C([H])=C([H])[H],-1153.43,1.0,[H]C#CC([H])([H])C([H])=C([H])[H]
85,[H]O[N]C([H])=C([H])[C]([H])[H],-972.64,1.0,[H]O[N]C([H])=C([H])[C]([H])[H]
86,[H]C#C[C]([H])[N]O[H],-810.17,1.0,[H]C#C[C]([H])[N]O[H]
87,[H]C#CC([H])([H])C#C[H],-994.68,1.0,[H]C#CC([H])([H])C#C[H]
88,[H]C(=C(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H],-1459.47,1.0,[H]C(=C(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H]
89,[H]C([H])=C([H])C([H])=C([H])C([H])([H])[H],-1318.45,1.0,[H]C([H])=C([H])C([H])=C([H])C([H])([H])[H]
90,[H]C#CC([H])=C([H])C([H])([H])[H],-1158.13,1.0,[H]C#CC([H])=C([H])C([H])([H])[H]
91,[H]C([H])=C([H])C(=C([H])[H])C([H])([H])[H],-1317.7,1.0,[H]C([H])=C([H])C(=C([H])[H])C([H])([H])[H]
92,[H]C#CC(=C([H])[H])C([H])([H])[H],-1157.45,1.0,[H]C#CC(=C([H])[H])C([H])([H])[H]
93,[H]C([H])=C([H])C([H])(C([H])([H])[H])C([H])([H])[H],-1455.85,1.0,[H]C([H])=C([H])C([H])(C([H])([H])[H])C([H])([H])[H]
94,[H]C#CC([H])(C([H])([H])[H])C([H])([H])[H],-1300.09,1.0,[H]C#CC([H])(C([H])([H])[H])C([H])([H])[H]
95,[H]C([H])=C([H])C#CC([H])([H])[H],-1163.19,1.0,[H]C([H])=C([H])C#CC([H])([H])[H]
96,[H]C#CC#CC([H])([H])[H],-947.54,1.0,[H]C#CC#CC([H])([H])[H]
97,[H]C(=C([H])C([H])([H])C([H])([H])[H])C([H])([H])[H],-1458.29,1.0,[H]C(=C([H])C([H])([H])C([H])([H])[H])C([H])([H])[H]
98,[H]C([H])=C(C([H])([H])[H])C([H])([H])C([H])([H])[H],-1458.12,1.0,[H]C([H])=C(C([H])([H])[H])C([H])([H])C([H])([H])[H]
99,[H]C([H])([H])C#CC([H])([H])C([H])([H])[H],-1306.23,1.0,[H]C([H])([H])C#CC([H])([H])C([H])([H])[H]
100,[H]C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])[H],-1455.34,1.0,[H]C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])[H]
101,[H]C#CC([H])([H])C([H])([H])C([H])([H])[H],-1300.05,1.0,[H]C#CC([H])([H])C([H])([H])C([H])([H])[H]
102,[H]N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],-1470.79,1.0,[H]N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
103,[H]C([H])=C([H])C([H])([H])C#N,-1062.9,1.0,[H]C([H])=C([H])C([H])([H])C#N
104,[H]C#CC([H])([H])C#N,-903.23,1.0,[H]C#CC([H])([H])C#N
105,[H]C(=C([H])C([H])([H])N([H])[H])C([H])([H])[H],-1328.89,1.0,[H]C(=C([H])C([H])([H])N([H])[H])C([H])([H])[H]
106,[H]C(C#N)=C([H])C([H])([H])[H],-1067.19,1.0,[H]C(C#N)=C([H])C([H])([H])[H]
107,[H]C([H])=C(C([H])([H])[H])C([H])([H])N([H])[H],-1327.3,1.0,[H]C([H])=C(C([H])([H])[H])C([H])([H])N([H])[H]
108,[H]C([H])=C(C#N)C([H])([H])[H],-1065.62,1.0,[H]C([H])=C(C#N)C([H])([H])[H]
109,[H]N([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],-1471.15,1.0,[H]N([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H]
110,[H]N([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],-1474.9,1.0,[H]N([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]
111,[H]C([H])([H])C([H])(C#N)C([H])([H])[H],-1210.47,1.0,[H]C([H])([H])C([H])(C#N)C([H])([H])[H]
112,[H]N([H])C([H])([H])C#CC([H])([H])[H],-1174.66,1.0,[H]N([H])C([H])([H])C#CC([H])([H])[H]
113,[H]C([H])([H])C#CC#N,-902.44,1.0,[H]C([H])([H])C#CC#N
114,[H]N([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],-1472.02,1.0,[H]N([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H]
115,[H]C([H])([H])C([H])([H])C([H])([H])C#N,-1210.27,1.0,[H]C([H])([H])C([H])([H])C([H])([H])C#N
116,[H]N(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[H],-1464.45,1.0,[H]N(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[H]
117,[H]N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H],-1466.4,1.0,[H]N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H]
118,[H]C([H])=C([H])C([H])(N([H])[H])C([H])([H])[H],-1325.98,1.0,[H]C([H])=C([H])C([H])(N([H])[H])C([H])([H])[H]
119,[H]C#CC([H])(N([H])[H])C([H])([H])[H],-1169.33,1.0,[H]C#CC([H])(N([H])[H])C([H])([H])[H]
120,[H]C([H])([H])N(C([H])([H])[H])C([H])([H])C([H])([H])[H],-1459.29,1.0,[H]C([H])([H])N(C([H])([H])[H])C([H])([H])C([H])([H])[H]
121,[H]N(C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H],-1466.12,1.0,[H]N(C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H]
122,[H]C([H])=C([H])C([H])([H])N([H])C([H])([H])[H],-1319.45,1.0,[H]C([H])=C([H])C([H])([H])N([H])C([H])([H])[H]
123,[H]C#CC([H])([H])N([H])C([H])([H])[H],-1161.87,1.0,[H]C#CC([H])([H])N([H])C([H])([H])[H]
124,[H]N(C([H])([H])[H])C([H])([H])C#N,-1070.7,1.0,[H]N(C([H])([H])[H])C([H])([H])C#N
125,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],-1600.11,1.0,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
126,[H]C([H])=C([H])C([H])([H])C([H])([H])N([H])[H],-1325.85,1.0,[H]C([H])=C([H])C([H])([H])C([H])([H])N([H])[H]
127,[H]C#CC([H])([H])C([H])([H])N([H])[H],-1170.42,1.0,[H]C#CC([H])([H])C([H])([H])N([H])[H]
128,[H]C(C#N)=C([H])N([H])[H],-949.91,1.0,[H]C(C#N)=C([H])N([H])[H]
129,[H]C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],-1602.07,1.0,[H]C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]
130,[H]OC([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],-1400.29,1.0,[H]OC([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
131,[H]C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],-1600.27,1.0,[H]C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H]
132,[H]C(=O)C([H])([H])C([H])=C([H])[H],-1123.32,1.0,[H]C(=O)C([H])([H])C([H])=C([H])[H]
133,[H]OC([H])([H])C([H])=C([H])C([H])([H])[H],-1258.46,1.0,[H]OC([H])([H])C([H])=C([H])C([H])([H])[H]
134,[H]C(=O)C([H])=C([H])C([H])([H])[H],-1132.01,1.0,[H]C(=O)C([H])=C([H])C([H])([H])[H]
135,[H]OC([H])([H])C(=C([H])[H])C([H])([H])[H],-1258.28,1.0,[H]OC([H])([H])C(=C([H])[H])C([H])([H])[H]
136,[H]C(=O)C(=C([H])[H])C([H])([H])[H],-1131.64,1.0,[H]C(=O)C(=C([H])[H])C([H])([H])[H]
137,[H]OC([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],-1401.12,1.0,[H]OC([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H]
138,[H]OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],-1406.47,1.0,[H]OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]
139,[H]C(=O)C([H])(C([H])([H])[H])C([H])([H])[H],-1270.06,1.0,[H]C(=O)C([H])(C([H])([H])[H])C([H])([H])[H]
140,[H]OC([H])([H])C#CC([H])([H])[H],-1104.19,1.0,[H]OC([H])([H])C#CC([H])([H])[H]
141,[H]C(=O)C#CC([H])([H])[H],-972.49,1.0,[H]C(=O)C#CC([H])([H])[H]
142,[H]C([H])([H])C#CC([H])([H])C([H])([H])C([H])([H])[H],-1602.28,1.0,[H]C([H])([H])C#CC([H])([H])C([H])([H])C([H])([H])[H]
143,[H]C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],-1751.2,1.0,[H]C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
144,[H]C#CC([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],-1595.95,1.0,[H]C#CC([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
145,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],-1895.91,1.0,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
146,[H]C([H])([H])C([H])(C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H],-1894.96,1.0,[H]C([H])([H])C([H])(C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H]
147,[H]C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],-1894.91,1.0,[H]C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H]
148,[H]C([H])([H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],-1896.03,1.0,[H]C([H])([H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]
149,[H]N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],-1766.6,1.0,[H]N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
150,[H]C#CC(C#N)=C([H])[H],-1058.34,1.0,[H]C#CC(C#N)=C([H])[H]
151,[H]C([H])=C([H])C([H])=C([H])C#N,-1224.22,1.0,[H]C([H])=C([H])C([H])=C([H])C#N
152,[H]C([H])=C([H])C(C#N)=C([H])[H],-1220.44,1.0,[H]C([H])=C([H])C(C#N)=C([H])[H]
153,[H]C([H])=C([H])C#CC#N,-1053.94,1.0,[H]C([H])=C([H])C#CC#N
154,[H]C([H])=C([H])C([H])([H])C([H])([H])C#N,-1360.57,1.0,[H]C([H])=C([H])C([H])([H])C([H])([H])C#N
155,[H]C#CC([H])=C([H])C#N,-1062.67,1.0,[H]C#CC([H])=C([H])C#N
156,[H]C#CC#CC#N,-884.17,1.0,[H]C#CC#CC#N
157,[H]C#CC([H])([H])C([H])([H])C#N,-1204.12,1.0,[H]C#CC([H])([H])C([H])([H])C#N
158,[H]C(=C([H])C([H])([H])C([H])([H])N([H])[H])C([H])([H])[H],-1624.79,1.0,[H]C(=C([H])C([H])([H])C([H])([H])N([H])[H])C([H])([H])[H]
159,[H]C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],-1896.03,1.0,[H]C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H]
160,[H]C(=C(C([H])([H])[H])C([H])([H])N([H])[H])C([H])([H])[H],-1625.89,1.0,[H]C(=C(C([H])([H])[H])C([H])([H])N([H])[H])C([H])([H])[H]
161,[H]C(=C(C#N)C([H])([H])[H])C([H])([H])[H],-1365.77,1.0,[H]C(=C(C#N)C([H])([H])[H])C([H])([H])[H]
162,[H]C(=C([H])C([H])(N([H])[H])C([H])([H])[H])C([H])([H])[H],-1625.6,1.0,[H]C(=C([H])C([H])(N([H])[H])C([H])([H])[H])C([H])([H])[H]
163,[H]C(=C([H])C([H])([H])C#N)C([H])([H])[H],-1362.59,1.0,[H]C(=C([H])C([H])([H])C#N)C([H])([H])[H]
164,[H]C([H])=C(C([H])([H])[H])C([H])([H])C([H])([H])N([H])[H],-1624.54,1.0,[H]C([H])=C(C([H])([H])[H])C([H])([H])C([H])([H])N([H])[H]
165,[H]C([H])=C(C([H])([H])[H])C([H])([H])C#N,-1362.55,1.0,[H]C([H])=C(C([H])([H])[H])C([H])([H])C#N
166,[H]C([H])=C([H])C([H])(C#N)C([H])([H])[H],-1359.44,1.0,[H]C([H])=C([H])C([H])(C#N)C([H])([H])[H]
167,[H]N([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],-1766.7,1.0,[H]N([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H]
168,[H]C(=C(C([H])([H])[H])C([H])([H])[H])C([H])([H])N([H])[H],-1626.31,1.0,[H]C(=C(C([H])([H])[H])C([H])([H])[H])C([H])([H])N([H])[H]
169,[H]C(C#N)=C(C([H])([H])[H])C([H])([H])[H],-1368.53,1.0,[H]C(C#N)=C(C([H])([H])[H])C([H])([H])[H]
170,[H]N([H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],-1767.11,1.0,[H]N([H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]
171,[H]C([H])([H])C(C#N)(C([H])([H])[H])C([H])([H])[H],-1506.73,1.0,[H]C([H])([H])C(C#N)(C([H])([H])[H])C([H])([H])[H]
172,[H]N([H])C([H])(C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H],-1767.17,1.0,[H]N([H])C([H])(C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H]
173,[H]C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C#N,-1507.23,1.0,[H]C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C#N
174,[H]C#CC([H])(C#N)C([H])([H])[H],-1199.56,1.0,[H]C#CC([H])(C#N)C([H])([H])[H]
175,[H]N([H])C([H])([H])C([H])([H])C#CC([H])([H])[H],-1472.85,1.0,[H]N([H])C([H])([H])C([H])([H])C#CC([H])([H])[H]
176,[H]N([H])C([H])(C#CC([H])([H])[H])C([H])([H])[H],-1472.08,1.0,[H]N([H])C([H])(C#CC([H])([H])[H])C([H])([H])[H]
177,[H]C([H])([H])C#CC([H])([H])C#N,-1207.02,1.0,[H]C([H])([H])C#CC([H])([H])C#N
178,[H]C(=C([H])C([H])([H])C([H])([H])[H])C([H])([H])N([H])[H],-1624.5,1.0,[H]C(=C([H])C([H])([H])C([H])([H])[H])C([H])([H])N([H])[H]
179,[H]C(C#N)=C([H])C([H])([H])C([H])([H])[H],-1364.82,1.0,[H]C(C#N)=C([H])C([H])([H])C([H])([H])[H]
180,[H]C([H])=C(C([H])([H])N([H])[H])C([H])([H])C([H])([H])[H],-1623.4,1.0,[H]C([H])=C(C([H])([H])N([H])[H])C([H])([H])C([H])([H])[H]
181,[H]C([H])=C(C#N)C([H])([H])C([H])([H])[H],-1363.0,1.0,[H]C([H])=C(C#N)C([H])([H])C([H])([H])[H]
182,[H]N([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],-1765.71,1.0,[H]N([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H]
183,[H]N([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],-1768.93,1.0,[H]N([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])[H]
184,[H]C([H])([H])C([H])([H])C([H])(C#N)C([H])([H])[H],-1505.93,1.0,[H]C([H])([H])C([H])([H])C([H])(C#N)C([H])([H])[H]
185,[H]N([H])C([H])([H])C#CC([H])([H])C([H])([H])[H],-1470.05,1.0,[H]N([H])C([H])([H])C#CC([H])([H])C([H])([H])[H]
186,[H]C([H])([H])C([H])([H])C#CC#N,-1198.02,1.0,[H]C([H])([H])C([H])([H])C#CC#N
187,[H]N([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[H],-1768.13,1.0,[H]N([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[H]
188,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C#N,-1506.3,1.0,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C#N
189,[H]N(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],-1760.25,1.0,[H]N(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
190,[H]N(C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],-1760.97,1.0,[H]N(C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H]
191,[H][C](C([H])=C([H])[N]N([H])[H])C([H])([H])[H],-1348.49,1.0,[H][C](C([H])=C([H])[N]N([H])[H])C([H])([H])[H]
